DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.5985, 0.663, 194.437054702*(x-0.5985)*(x-0.5985)*(x-0.5985)-20.9860589112*(x-0.5985)*(x-0.5985)+0.0*(x-0.5985)+1.0461233854293823
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.663, 0.7265, 24.2783719302*(x-0.663)*(x-0.663)*(x-0.663)-0.104000524265*(x-0.663)*(x-0.663)-0.280481329065*(x-0.663)+1.0109906196594238
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.7265, 0.7905, -67.6919092865*(x-0.7265)*(x-0.7265)*(x-0.7265)+7.6172460899*(x-0.7265)*(x-0.7265)+0.0*(x-0.7265)+0.9989771246910095
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.7905, 0.8535, -18.7058613336*(x-0.7905)*(x-0.7905)*(x-0.7905)+0.631122005594*(x-0.7905)*(x-0.7905)+0.143209318195*(x-0.7905)+1.012432336807251
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.8535, 0.914, 181.148490746*(x-0.8535)*(x-0.8535)*(x-0.8535)-22.8615554145*(x-0.8535)*(x-0.8535)+0.0*(x-0.8535)+1.0192821025848389
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.914, 0.977, 1.04174263081*(x-0.914)*(x-0.914)*(x-0.914)-1.1421893661*(x-0.914)*(x-0.914)-0.777101915398*(x-0.914)+0.9757175445556641
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.977, 1.1, 0.922487258911
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0, 0.076, 1.20346784592
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.076, 0.182, 0.365487484166*(x-0.076)*(x-0.076)*(x-0.076)-1.51274183411*(x-0.076)*(x-0.076)+0.0*(x-0.076)+1.203467845916748
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.182, 0.242, 811.524165362*(x-0.182)*(x-0.182)*(x-0.182)-70.4673297433*(x-0.182)*(x-0.182)-0.308381416714*(x-0.182)+1.1869059801101685
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.242, 0.3045, -42.9560546875*(x-0.242)*(x-0.242)*(x-0.242)+4.02713012695*(x-0.242)*(x-0.242)+0.0*(x-0.242)+1.0900099277496338
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.3045, 0.369, 290.883041188*(x-0.3045)*(x-0.3045)*(x-0.3045)-28.1429342349*(x-0.3045)*(x-0.3045)+0.0*(x-0.3045)+1.095253586769104
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.369, 0.433, -159.918661629*(x-0.369)*(x-0.369)*(x-0.369)+19.9464806332*(x-0.369)*(x-0.369)+0.0*(x-0.369)+1.056226372718811
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.433, 0.4975, -126.869194856*(x-0.433)*(x-0.433)*(x-0.433)+7.71592012983*(x-0.433)*(x-0.433)+0.58806900695*(x-0.433)+1.0960054397583008
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.4975, 0.562, 986.035969901*(x-0.4975)*(x-0.4975)*(x-0.4975)-95.3989800879*(x-0.4975)*(x-0.4975)+0.0*(x-0.4975)+1.1319924592971802
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.562, 0.626, -287.809888742*(x-0.562)*(x-0.562)*(x-0.562)+29.6246620862*(x-0.562)*(x-0.562)+0.0*(x-0.562)+0.9996979236602783
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.626, 0.6895, -13.7957319287*(x-0.626)*(x-0.626)*(x-0.626)-0.696577275269*(x-0.626)*(x-0.626)+0.255348834168*(x-0.626)+1.0455929040908813
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.6895, 0.7515, 667.682163329*(x-0.6895)*(x-0.6895)*(x-0.6895)-62.0944411896*(x-0.6895)*(x-0.6895)+0.0*(x-0.6895)+1.0554664134979248
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.7515, 0.8115, -318.266175411*(x-0.7515)*(x-0.7515)*(x-0.7515)+28.643955787*(x-0.7515)*(x-0.7515)+0.0*(x-0.7515)+0.9759027361869812
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.8115, 0.8695, 333.786255134*(x-0.8115)*(x-0.8115)*(x-0.8115)-29.0394041966*(x-0.8115)*(x-0.8115)+0.0*(x-0.8115)+1.0102754831314087
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.8695, 0.925, -111.992828173*(x-0.8695)*(x-0.8695)*(x-0.8695)+9.32340294536*(x-0.8695)*(x-0.8695)+0.0*(x-0.8695)+0.9777126312255859
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.925, 0.981, 154.863186271*(x-0.925)*(x-0.925)*(x-0.925)-29.2029454503*(x-0.925)*(x-0.925)+0.0*(x-0.925)+0.9872854351997375
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.981, 1.1, 0.922901451588
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0, 0.0705, 1.34144675732
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.0705, 0.1715, 8.58920530683*(x-0.0705)*(x-0.0705)*(x-0.0705)-4.38803860933*(x-0.0705)*(x-0.0705)-1.27362925654*(x-0.0705)+1.3414467573165894
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.1715, 0.2355, 615.972233418*(x-0.1715)*(x-0.1715)*(x-0.1715)-44.3117906142*(x-0.1715)*(x-0.1715)-1.89715760562*(x-0.1715)+1.1768972873687744
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.2355, 0.302, -248.471910025*(x-0.2355)*(x-0.2355)*(x-0.2355)+24.7850730249*(x-0.2355)*(x-0.2355)+0.0*(x-0.2355)+1.0354515314102173
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.302, 0.3685, 214.173930476*(x-0.302)*(x-0.302)*(x-0.302)-21.64956809*(x-0.302)*(x-0.302)+0.0*(x-0.302)+1.0719867944717407
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.3685, 0.4355, -8.35569246221*(x-0.3685)*(x-0.3685)*(x-0.3685)+0.832393194595*(x-0.3685)*(x-0.3685)-0.0380005638328*(x-0.3685)+1.0392311811447144
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.4355, 0.5025, 688.375826152*(x-0.4355)*(x-0.4355)*(x-0.4355)-68.8908303332*(x-0.4355)*(x-0.4355)-0.0389859861457*(x-0.4355)+1.037908673286438
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.5025, 0.569, -1019.41422114*(x-0.5025)*(x-0.5025)*(x-0.5025)+101.686568559*(x-0.5025)*(x-0.5025)+0.0*(x-0.5025)+0.9330836534500122
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.569, 0.635, 1.03307540013*(x-0.569)*(x-0.569)*(x-0.569)-0.952236440515*(x-0.569)*(x-0.569)+0.0*(x-0.569)+1.0829781293869019
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.635, 0.7, 622.632395472*(x-0.635)*(x-0.635)*(x-0.635)-59.8436202445*(x-0.635)*(x-0.635)-0.112194980819*(x-0.635)+1.0791271924972534
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.7, 0.7625, -35.4651598123*(x-0.7)*(x-0.7)*(x-0.7)+5.82605429979*(x-0.7)*(x-0.7)+0.0*(x-0.7)+0.9899856448173523
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.7625, 0.8225, -193.61596494*(x-0.7625)*(x-0.7625)*(x-0.7625)+14.8200247953*(x-0.7625)*(x-0.7625)+0.312649445924*(x-0.7625)+1.0040851831436157
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.8225, 0.88, 1.62796377543*(x-0.8225)*(x-0.8225)*(x-0.8225)-1.47782382186*(x-0.8225)*(x-0.8225)+0.0*(x-0.8225)+1.0343751907348633
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.88, 0.933, 855.677822867*(x-0.88)*(x-0.88)*(x-0.88)-73.7874983528*(x-0.88)*(x-0.88)-0.153802373816*(x-0.88)+1.0297986268997192
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.933, 0.984, 89.5728571006*(x-0.933)*(x-0.933)*(x-0.933)+0.642580215224*(x-0.933)*(x-0.933)-0.764480185909*(x-0.933)+0.9417687654495239
3, iterativefit, central, 0, 0.0, 2.5, 100, 140, 0.984, 1.1, 0.916333556175
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0, 0.077, 1.45439863205
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.077, 0.1835, 6.6184908203*(x-0.077)*(x-0.077)*(x-0.077)+5.90391695093*(x-0.077)*(x-0.077)-2.91672281172*(x-0.077)+1.4543986320495605
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.1835, 0.244, -133.488506889*(x-0.1835)*(x-0.1835)*(x-0.1835)+13.4440379561*(x-0.1835)*(x-0.1835)-1.43398276866*(x-0.1835)+1.2187261581420898
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.244, 0.3075, 242.470601795*(x-0.244)*(x-0.244)*(x-0.244)-18.9377806536*(x-0.244)*(x-0.244)-1.27305809799*(x-0.244)+1.1516183614730835
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.3075, 0.373, 56.6850886666*(x-0.3075)*(x-0.3075)*(x-0.3075)+0.11809453267*(x-0.3075)*(x-0.3075)-0.745049988735*(x-0.3075)+1.0565013885498047
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.373, 0.439, -642.823579863*(x-0.373)*(x-0.373)*(x-0.373)+63.6395344064*(x-0.373)*(x-0.373)+0.0*(x-0.373)+1.0241364240646362
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.439, 0.505, 136.799338778*(x-0.439)*(x-0.439)*(x-0.439)-21.193221464*(x-0.439)*(x-0.439)+0.0*(x-0.439)+1.1165410280227661
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.505, 0.5705, 398.308024846*(x-0.505)*(x-0.505)*(x-0.505)-31.425278906*(x-0.505)*(x-0.505)-1.0098114741*(x-0.505)+1.0635526180267334
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.5705, 0.635, -177.644871413*(x-0.5705)*(x-0.5705)*(x-0.5705)+20.4543302303*(x-0.5705)*(x-0.5705)+0.0*(x-0.5705)+0.974516749382019
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.635, 0.6985, 5.39430931514*(x-0.635)*(x-0.635)*(x-0.635)-1.7627857882*(x-0.635)*(x-0.635)+0.42146737082*(x-0.635)+1.0119433403015137
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.6985, 0.76, -45.9084254538*(x-0.6985)*(x-0.6985)*(x-0.6985)+2.0980832487*(x-0.6985)*(x-0.6985)+0.262847186927*(x-0.6985)+1.0329797267913818
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.76, 0.819, 778.800669364*(x-0.76)*(x-0.76)*(x-0.76)-68.9238592387*(x-0.76)*(x-0.76)+0.0*(x-0.76)+1.0464016199111938
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.819, 0.876, -570.326007011*(x-0.819)*(x-0.819)*(x-0.819)+48.7628735994*(x-0.819)*(x-0.819)+0.0*(x-0.819)+0.9664269685745239
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.876, 0.9295, 526.974584346*(x-0.876)*(x-0.876)*(x-0.876)-53.2300064844*(x-0.876)*(x-0.876)+0.0*(x-0.876)+1.0192371606826782
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.9295, 0.9825, 6.54432328791*(x-0.9295)*(x-0.9295)*(x-0.9295)+2.11896821845*(x-0.9295)*(x-0.9295)-1.17061168171*(x-0.9295)+0.9475753903388977
3, iterativefit, central, 0, 0.0, 2.5, 140, 10000.0, 0.9825, 1.1, 0.892459452152
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, -15, 0, 0.0
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0, 0.0055, 0.832449615002
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0055, 0.0155, -1518.36480901*(x-0.0055)*(x-0.0055)*(x-0.0055)-119.696596642*(x-0.0055)*(x-0.0055)+14.6793633699*(x-0.0055)+0.8324496150016785
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0155, 0.0255, -49673.9367883*(x-0.0155)*(x-0.0155)*(x-0.0155)+377.042771241*(x-0.0155)*(x-0.0155)+11.8299219944*(x-0.0155)+0.9657552242279053
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0255, 0.037, -8254.17868142*(x-0.0255)*(x-0.0255)*(x-0.0255)-51.9022169949*(x-0.0255)*(x-0.0255)+4.46859638274*(x-0.0255)+1.0720847845077515
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.037, 0.0495, 91839.4775391*(x-0.037)*(x-0.037)*(x-0.037)-1721.99020386*(x-0.037)*(x-0.037)+0.0*(x-0.037)+1.1040560007095337
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0495, 0.063, -6691.75671158*(x-0.0495)*(x-0.0495)*(x-0.0495)+201.04146573*(x-0.0495)*(x-0.0495)+0.0*(x-0.0495)+1.014369010925293
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.063, 0.0785, -1850.57728809*(x-0.063)*(x-0.063)*(x-0.063)+55.9164338906*(x-0.063)*(x-0.063)+1.76940159265*(x-0.063)+1.034544587135315
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0785, 0.0975, -44.2700837454*(x-0.0785)*(x-0.0785)*(x-0.0785)-0.399210932985*(x-0.0785)*(x-0.0785)+2.16900746287*(x-0.0785)+1.0685129165649414
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.0975, 0.1295, -1310.61933872*(x-0.0975)*(x-0.0975)*(x-0.0975)+40.5322023653*(x-0.0975)*(x-0.0975)+2.10589294672*(x-0.0975)+1.109276294708252
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.1295, 0.188, 51.8945497515*(x-0.1295)*(x-0.1295)*(x-0.1295)-8.22013542601*(x-0.1295)*(x-0.1295)+0.673731289552*(x-0.1295)+1.175223469734192
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.188, 0.2665, 4.71164457345*(x-0.188)*(x-0.188)*(x-0.188)-1.2185598222*(x-0.188)*(x-0.188)+0.24476381337*(x-0.188)+1.1968947649002075
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.2665, 0.659, -0.165461558523*(x-0.2665)*(x-0.2665)*(x-0.2665)-0.0242259921256*(x-0.2665)*(x-0.2665)+0.140552916603*(x-0.2665)+1.210878849029541
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.659, 1.1, 1.25230872631
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, -15, 0, 0.0
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0, 0.0065, 0.866725742817
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.0065, 0.018, -3565.13538221*(x-0.0065)*(x-0.0065)*(x-0.0065)-146.700571389*(x-0.0065)*(x-0.0065)+13.1227475695*(x-0.0065)+0.866725742816925
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.018, 0.029, -34862.3850137*(x-0.018)*(x-0.018)*(x-0.018)+238.649257257*(x-0.018)*(x-0.018)+8.33416696469*(x-0.018)+0.9928140640258789
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.029, 0.042, -254.947810101*(x-0.029)*(x-0.029)*(x-0.029)-30.7748586398*(x-0.029)*(x-0.029)+0.929404864357*(x-0.029)+1.0669646263122559
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.042, 0.057, 33903.847729*(x-0.042)*(x-0.042)*(x-0.042)-852.466714636*(x-0.042)*(x-0.042)+0.0*(x-0.042)+1.0732858180999756
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.057, 0.074, 3108.59443948*(x-0.057)*(x-0.057)*(x-0.057)-0.183739912123*(x-0.057)*(x-0.057)-2.68890422202*(x-0.057)+0.9959062933921814
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.074, 0.094, -10124.8132405*(x-0.074)*(x-0.074)*(x-0.074)+394.159917468*(x-0.074)*(x-0.074)+0.0*(x-0.074)+0.9654143452644348
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.094, 0.122, -3532.13559928*(x-0.094)*(x-0.094)*(x-0.094)+91.2254555859*(x-0.094)*(x-0.094)+3.61662081015*(x-0.094)+1.0420798063278198
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.122, 0.1645, 0.732371493799*(x-0.122)*(x-0.122)*(x-0.122)-4.96037566461*(x-0.122)*(x-0.122)+0.41766339346*(x-0.122)+1.1373285055160522
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.1645, 0.226, 350.85628425*(x-0.1645)*(x-0.1645)*(x-0.1645)-32.3664922221*(x-0.1645)*(x-0.1645)+0.0*(x-0.1645)+1.146175742149353
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.226, 0.3165, -122.666268377*(x-0.226)*(x-0.226)*(x-0.226)+17.5087247361*(x-0.226)*(x-0.226)+0.0*(x-0.226)+1.1053696870803833
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, 0.3165, 0.6905, 0.0561871103448*(x-0.3165)*(x-0.3165)*(x-0.3165)-0.238843112615*(x-0.3165)*(x-0.3165)+0.155076963496*(x-0.3165)+1.1578481197357178
